VARIABLES = "y","u'u'","v'v'","w'w'"
ZONE T="SA, X=0.97008"
 6.932952441E-03 1.953395316E-03 1.931998529E-03 1.942754840E-03
 7.147664204E-03 1.906789956E-03 1.885183854E-03 1.896046102E-03
 7.369025610E-03 1.857981668E-03 1.836204669E-03 1.847153413E-03
 7.597242948E-03 1.806895714E-03 1.784990774E-03 1.796004595E-03
 7.832527161E-03 1.753461780E-03 1.731476746E-03 1.742531545E-03
 8.075099438E-03 1.697613741E-03 1.675601816E-03 1.686670934E-03
 8.325182833E-03 1.639292808E-03 1.617312548E-03 1.628366532E-03
 8.583012037E-03 1.578449388E-03 1.556565287E-03 1.567571773E-03
 8.848825470E-03 1.515045878E-03 1.493328251E-03 1.504251850E-03
 9.122870862E-03 1.449059462E-03 1.427584910E-03 1.438387088E-03
 9.405404329E-03 1.380486530E-03 1.359337708E-03 1.369976904E-03
 9.696686640E-03 1.309346757E-03 1.288612606E-03 1.299044234E-03
 9.996990673E-03 1.235689269E-03 1.215464668E-03 1.225640881E-03
 1.030659489E-02 1.159598469E-03 1.139984000E-03 1.149854157E-03
 1.062578708E-02 1.081202994E-03 1.062304247E-03 1.071815263E-03
 1.095486525E-02 1.000683871E-03 9.826107416E-04 9.917073185E-04
 1.129413396E-02 9.182865033E-04 9.011517977E-04 9.097771253E-04
 1.164390985E-02 8.343338268E-04 8.182514575E-04 8.263480850E-04
 1.200451888E-02 7.492416771E-04 7.343245670E-04 7.418356254E-04
 1.237629540E-02 6.635371246E-04 6.498940056E-04 6.567646633E-04
 1.275958586E-02 5.778804771E-04 5.656118155E-04 5.717913737E-04
 1.315474603E-02 4.930886207E-04 4.822817282E-04 4.877261235E-04
 1.356214564E-02 4.101637460E-04 4.008863179E-04 4.055612080E-04
 1.398216095E-02 3.303229169E-04 3.226150002E-04 3.265000414E-04
 1.441518404E-02 2.550290374E-04 2.488934260E-04 2.519869304E-04
 1.486161817E-02 1.860162884E-04 1.814067800E-04 1.837317541E-04
 1.532187872E-02 1.252915827E-04 1.221000275E-04 1.237105607E-04
 1.579639316E-02 7.505149551E-05 7.309471403E-05 7.408278179E-05
 1.628560200E-02 3.737524094E-05 3.638894486E-05 3.688736615E-05
 1.678996161E-02 1.346845784E-05 1.312101449E-05 1.329683982E-05
 1.730994321E-02 2.431383564E-06 2.379895932E-06 2.406078920E-06
 1.784602553E-02 4.754278038E-08 5.050425145E-08 4.906757312E-08
 1.839871332E-02 -3.328288045E-08 -3.110381286E-08 -3.218307754E-08
 1.896851510E-02 -2.123142373E-08 -1.983815778E-08 -2.052711068E-08
 1.955596358E-02 -7.262693114E-09 -6.405724395E-09 -6.827510113E-09
 2.016160637E-02 6.749447112E-10 1.265648364E-09 9.770083631E-10
 2.078600600E-02 2.218910611E-09 2.778896668E-09 2.505508911E-09
 2.142974176E-02 9.748745144E-10 1.595295118E-09 1.291888263E-09
 2.209341526E-02 -2.773239138E-10 3.944079785E-10 6.531956226E-11
 2.277764119E-02 -7.330490659E-10 -4.400640269E-11 -3.816626459E-10
 2.348305658E-02 -6.746172510E-10 1.099681023E-11 -3.249889524E-10
 2.421032079E-02 -5.159134231E-10 1.640942521E-10 -1.690477064E-10
 2.496010624E-02 -4.360622974E-10 2.427251455E-10 -8.981734106E-11
 2.573311329E-02 -4.315584001E-10 2.491818141E-10 -8.430290493E-11
 2.653006092E-02 -4.509615181E-10 2.326445286E-10 -1.022698037E-10
 2.735168859E-02 -4.641707574E-10 2.217226680E-10 -1.143111023E-10
 2.819876187E-02 -4.677785936E-10 2.198825566E-10 -1.170277486E-10
 2.907206863E-02 -4.673725851E-10 2.217704770E-10 -1.158625973E-10
 2.997242101E-02 -4.670701048E-10 2.235327062E-10 -1.148207501E-10
 3.090065904E-02 -4.676726229E-10 2.243504271E-10 -1.146979872E-10
 3.185764328E-02 -4.686817601E-10 2.247248360E-10 -1.150049223E-10
 3.284426406E-02 -4.696519285E-10 2.250575559E-10 -1.153105181E-10
 3.386143968E-02 -4.705023038E-10 2.254479797E-10 -1.155299953E-10
 3.491012007E-02 -4.712313317E-10 2.258901816E-10 -1.156616400E-10
 3.599127382E-02 -4.719374891E-10 2.262965093E-10 -1.158013962E-10
 3.710591421E-02 -4.724647895E-10 2.268162325E-10 -1.157941798E-10
 3.825507313E-02 -4.728358260E-10 2.274314764E-10 -1.156622506E-10
 3.943981975E-02 -4.732555459E-10 2.279384320E-10 -1.156085921E-10
 4.066125676E-02 -4.736513959E-10 2.284180345E-10 -1.155572166E-10
 4.192052409E-02 -4.739817427E-10 2.289127360E-10 -1.154656093E-10
 4.321879148E-02 -4.742307103E-10 2.294410495E-10 -1.153168394E-10
 4.455726221E-02 -4.744067361E-10 2.299940516E-10 -1.151194071E-10
 4.593718797E-02 -4.745330795E-10 2.305515778E-10 -1.148951628E-10
 4.735985026E-02 -4.746291693E-10 2.310960312E-10 -1.146624323E-10
 4.882656783E-02 -4.747010007E-10 2.316256353E-10 -1.144253789E-10
 5.033871159E-02 -4.747420235E-10 2.321491194E-10 -1.141759395E-10
 5.189768597E-02 -4.747364168E-10 2.326866477E-10 -1.138966213E-10
 5.350494012E-02 -4.746627535E-10 2.332611604E-10 -1.135645883E-10
 5.516197160E-02 -4.745744908E-10 2.338204907E-10 -1.132334504E-10
 5.687032267E-02 -4.744792892E-10 2.343666650E-10 -1.129052199E-10
 5.863158032E-02 -4.743363480E-10 2.349345440E-10 -1.125427529E-10
 6.044737995E-02 -4.741742554E-10 2.355011741E-10 -1.121711751E-10
 6.231941655E-02 -4.739931225E-10 2.360699136E-10 -1.117893902E-10
 6.424943358E-02 -4.737913395E-10 2.366440932E-10 -1.113944492E-10
 6.623921543E-02 -4.735715153E-10 2.372237129E-10 -1.109881076E-10
 6.829062104E-02 -4.733343717E-10 2.378104103E-10 -1.105697131E-10
 7.040556520E-02 -4.730810743E-10 2.384040465E-10 -1.101398764E-10
 7.258599997E-02 -4.728103464E-10 2.390089238E-10 -1.096958149E-10
 7.483396679E-02 -4.725108083E-10 2.396381149E-10 -1.092253024E-10
 7.715155184E-02 -4.722076064E-10 2.402676669E-10 -1.087528678E-10
 7.954090834E-02 -4.718967994E-10 2.409035749E-10 -1.082736886E-10
 8.200427145E-02 -4.715594026E-10 2.415659062E-10 -1.077680584E-10
 8.454391360E-02 -4.712118473E-10 2.422385625E-10 -1.072523043E-10
 8.716221154E-02 -4.708485823E-10 2.429284274E-10 -1.067201466E-10
 8.986160159E-02 -4.704676093E-10 2.436382762E-10 -1.061692956E-10
 9.264458716E-02 -4.700681511E-10 2.443693581E-10 -1.055986548E-10
 9.551376104E-02 -4.696496525E-10 2.451225056E-10 -1.050075929E-10
 9.847179055E-02 -4.692136124E-10 2.458969695E-10 -1.043972131E-10
 1.015214324E-01 -4.687591981E-10 2.466929994E-10 -1.037669395E-10
 1.046655178E-01 -4.682854660E-10 2.475126770E-10 -1.031152871E-10
 1.079069749E-01 -4.677884746E-10 2.483600547E-10 -1.024381829E-10
 1.112488210E-01 -4.672717768E-10 2.492303586E-10 -1.017398943E-10
 1.146941632E-01 -4.667345399E-10 2.501265861E-10 -1.010184436E-10
 1.182462052E-01 -4.661695474E-10 2.510537611E-10 -1.002677455E-10
 1.219082549E-01 -4.655798802E-10 2.520087194E-10 -9.949081836E-11
 1.256837100E-01 -4.649633734E-10 2.529922105E-10 -9.868634382E-11
 1.295761019E-01 -4.643073426E-10 2.539989608E-10 -9.785072058E-11
 1.335890293E-01 -4.636391271E-10 2.550453737E-10 -9.698896547E-11
 1.377262473E-01 -4.629416017E-10 2.561234280E-10 -9.609678331E-11
 1.419915855E-01 -4.622102423E-10 2.572316249E-10 -9.517270999E-11
 1.463890225E-01 -4.614454374E-10 2.583715464E-10 -9.421616959E-11
 1.509226412E-01 -4.606470760E-10 2.595441084E-10 -9.322657230E-11
 1.555966735E-01 -4.598135761E-10 2.607504490E-10 -9.220261360E-11
 1.604154557E-01 -4.589458813E-10 2.619894857E-10 -9.114523025E-11
 1.653834581E-01 -4.580410495E-10 2.632628560E-10 -9.005220181E-11
 1.705053449E-01 -4.570969159E-10 2.645719477E-10 -8.892170333E-11
 1.757858396E-01 -4.561138411E-10 2.659156784E-10 -8.775451199E-11
 1.812298745E-01 -4.550905486E-10 2.672943533E-10 -8.654981593E-11
 1.868425012E-01 -4.540257337E-10 2.687083611E-10 -8.530672696E-11
 1.926289499E-01 -4.529179254E-10 2.701578128E-10 -8.402455814E-11
 1.985946149E-01 -4.517659302E-10 2.716425695E-10 -8.270274049E-11
 2.047450244E-01 -4.505673890E-10 2.731619098E-10 -8.134052459E-11
 2.110859156E-01 -4.493289074E-10 2.747203853E-10 -7.993875700E-11
 2.176231891E-01 -4.480391336E-10 2.763111684E-10 -7.849537687E-11
 2.243629098E-01 -4.467007042E-10 2.779362018E-10 -7.701073113E-11
 2.313113511E-01 -4.453134528E-10 2.795952636E-10 -7.548478509E-11
 2.384749949E-01 -4.438762413E-10 2.812877709E-10 -7.391733753E-11
 2.458604872E-01 -4.423882094E-10 2.830128909E-10 -7.230835375E-11
 2.534747124E-01 -4.408488019E-10 2.847695413E-10 -7.065811131E-11
 2.613247335E-01 -4.392572694E-10 2.865564452E-10 -6.896687388E-11
 2.694178820E-01 -4.376129459E-10 2.883724093E-10 -6.723503698E-11
 2.777616680E-01 -4.359154704E-10 2.902157681E-10 -6.546311410E-11
 2.863638699E-01 -4.341646487E-10 2.920847730E-10 -6.365199340E-11
 2.952324748E-01 -4.323605085E-10 2.939775368E-10 -6.180265327E-11
 3.043757379E-01 -4.305028833E-10 2.958918666E-10 -5.991611374E-11
 3.138021529E-01 -4.285919675E-10 2.978254032E-10 -5.799367236E-11
 3.235205114E-01 -4.266283160E-10 2.997753434E-10 -5.603700143E-11
 3.335398436E-01 -4.246125396E-10 3.017389394E-10 -5.404785300E-11
 3.438694775E-01 -4.225455819E-10 3.037129714E-10 -5.202832262E-11
 3.545189798E-01 -4.204285808E-10 3.056940534E-10 -4.998066197E-11
 3.654983342E-01 -4.182631186E-10 3.076785215E-10 -4.790753211E-11
 3.768177032E-01 -4.160509715E-10 3.096625179E-10 -4.581178839E-11
 3.884876370E-01 -4.137943044E-10 3.116417957E-10 -4.369664700E-11
 4.005189836E-01 -4.114957264E-10 3.136119697E-10 -4.156559472E-11
 4.129229188E-01 -4.091580963E-10 3.155684047E-10 -3.942246876E-11
 4.257110059E-01 -4.067848836E-10 3.175061325E-10 -3.727141859E-11
 4.388951659E-01 -4.043799462E-10 3.194201015E-10 -3.511695448E-11
 4.524875879E-01 -4.019475863E-10 3.213049549E-10 -3.296391285E-11
 4.665009975E-01 -3.994926612E-10 3.231551970E-10 -3.081749439E-11
 4.809483886E-01 -3.970205831E-10 3.249652492E-10 -2.868317563E-11
 4.958432019E-01 -3.945371529E-10 3.267293658E-10 -2.656672798E-11
 5.111992955E-01 -3.920488656E-10 3.284418848E-10 -2.447422820E-11
 5.270310044E-01 -3.895626877E-10 3.300969498E-10 -2.241202189E-11
 5.433530211E-01 -3.870862519E-10 3.316893149E-10 -2.038664203E-11
 5.601804852E-01 -3.846272467E-10 3.332130682E-10 -1.840479852E-11
