%Jackson and Launder (unpub.) impinging circular air jet.
%Heat transfer measurements (on slightly heated surface
%at say 25 deg. C) by Baughn and Shimuzu, J. Heat Transfer
%vol. 111, p. 1096, 1989.
%
%Re and Nu are based on jet diameter D and UBULK.
%Note: fully developed pipe flow at exit.  Nozzle lip is
%thick and square cut, and this may have some effect.
%For velocity measurements, internal diameter was 4.00 in
%and external dia. 4.25 in: for heat transfer measurements
%internal diameter was 26.5 mm (1.043 in) and external
%diameter 33.5 mm (1.319 in).
%Z is distance from nozzle to plate, x is distance ABOVE
%plate, R is radial.
%All profiles except NUSSELT are for varying x at given R
%and have 21 entries. In single-wire profiles (regarded as
%the more reliable for mean velocity), V is resultant mean
%velocity and vv is mean-square intensity in direction of V.
%In cross-wire profiles V and v are radial, U and u in
%positive x direction (towards nozzle, so U is usually
%negative).
%Single-wire traverses at slightly different Reynolds number
%were taken at different circumferential positions:
%differences therefore indicate departures from axisymmetry
%and not real Re effects. All traverses have been included.
%Note that the single-wire traverse at Re = 22752, R/D = 2
%covers only the inner part of the wall jet.
%
%______________________________________________________
%
% Part 1 Single-wire data

% Z/D=2.0     R/D= .0     Re=23074.
%    x/D          V/UBULK       vv/(UBULK**2)
  .6863E-01   .4802E+00   .2469E-02   .1874E-01     .6716E-02       .3135E-02
  .8068E-01   .4594E+00   .2775E-02   .1881E-01     .7214E-02       .3387E-02
  .9272E-01   .4420E+00   .3325E-02   .2085E-01     .7445E-02       .4416E-02
  .1048E+00   .4249E+00   .3799E-02   .2132E-01     .8000E-02       .4593E-02
  .1168E+00   .4060E+00   .5219E-02   .2158E-01     .7950E-02       .5057E-02
  .1289E+00   .3767E+00   .5331E-03   .2181E-01     .7744E-02       .4822E-02
  .1409E+00   .3564E+00   .4490E-02   .2058E-01     .7289E-02       .4914E-02
  .1530E+00   .3239E+00   .5956E-03   .2036E-01     .6861E-02       .4781E-02
  .1650E+00   .3140E+00   .2588E-02   .2130E-01     .6705E-02       .5004E-02
  .1771E+00   .2869E+00   .1247E-02   .2054E-01     .6331E-02       .4664E-02
  .1891E+00   .2612E+00  -.1560E-02   .1926E-01     .5566E-02       .4134E-02
  .2012E+00   .2444E+00   .2254E-02   .1949E-01     .5224E-02       .4363E-02
  .2132E+00   .2168E+00   .1178E-03   .1683E-01     .4424E-02       .3663E-02
  .2253E+00   .1951E+00   .1189E-02   .1493E-01     .3926E-02       .3196E-02
  .2373E+00   .1696E+00   .2974E-03   .1363E-01     .3400E-02       .2835E-02
  .2494E+00   .1488E+00  -.1088E-02   .1205E-01     .2766E-02       .2194E-02
  .2614E+00   .1380E+00   .9009E-03   .1150E-01     .2727E-02       .2276E-02
  .2735E+00   .1166E+00  -.8806E-03   .9437E-02     .1979E-02       .1669E-02
%
%__________________________________________________________
%
% Part 3 Nusselt number distribution for Z/D=2
%
%Re=23,750  26 readings
% R/D              Nu
 0.00              139.78
 0.28              138.27
 0.63              135.24
 0.76              128.44
 0.89              117.49
 1.06              106.16
 1.11              102.76
 1.34               97.09
 1.39               94.44
 1.48               94.44
 1.63               96.90
 1.83              102.00
 1.97              105.78
 2.18              106.16
 2.39              102.38
 2.75               94.44
 3.17               83.11
 3.56               74.80
 3.83               68.00
 4.06               64.22
 4.31               60.44
 4.56               56.67
 5.24               49.11
 5.70               44.39
 6.48               40.80
 8.77               30.98
