VARIABLES = "X","Y","Z","cp"
ZONE T="CFL3D, grid 1"
 -6.964515895E-02 0.000000000E+00 0.000000000E+00 2.274896391E-02
 -6.814936548E-02 0.000000000E+00 0.000000000E+00 2.287413366E-02
 -6.667650491E-02 0.000000000E+00 0.000000000E+00 2.299930342E-02
 -6.522608548E-02 0.000000000E+00 0.000000000E+00 2.312149294E-02
 -6.379762292E-02 0.000000000E+00 0.000000000E+00 2.324666269E-02
 -6.239062548E-02 0.000000000E+00 0.000000000E+00 2.336885221E-02
 -6.100463122E-02 0.000000000E+00 0.000000000E+00 2.349402197E-02
 -5.963916704E-02 0.000000000E+00 0.000000000E+00 2.361919172E-02
 -5.829377472E-02 0.000000000E+00 0.000000000E+00 2.374436148E-02
 -5.696799979E-02 0.000000000E+00 0.000000000E+00 2.387251146E-02
 -5.566140264E-02 0.000000000E+00 0.000000000E+00 2.399768122E-02
 -5.437353626E-02 0.000000000E+00 0.000000000E+00 2.412285097E-02
 -5.310396850E-02 0.000000000E+00 0.000000000E+00 2.424802072E-02
 -5.185227469E-02 0.000000000E+00 0.000000000E+00 2.437617071E-02
 -5.061803013E-02 0.000000000E+00 0.000000000E+00 2.450432070E-02
 -4.940082505E-02 0.000000000E+00 0.000000000E+00 2.463247068E-02
 -4.820024595E-02 0.000000000E+00 0.000000000E+00 2.476360090E-02
 -4.701588675E-02 0.000000000E+00 0.000000000E+00 2.489175089E-02
 -4.584735259E-02 0.000000000E+00 0.000000000E+00 2.502288111E-02
 -4.469424859E-02 0.000000000E+00 0.000000000E+00 2.515401132E-02
 -4.355618730E-02 0.000000000E+00 0.000000000E+00 2.528812177E-02
 -4.243278503E-02 0.000000000E+00 0.000000000E+00 2.542223223E-02
 -4.132366180E-02 0.000000000E+00 0.000000000E+00 2.555932291E-02
 -4.022844881E-02 0.000000000E+00 0.000000000E+00 2.569343336E-02
 -3.914677724E-02 0.000000000E+00 0.000000000E+00 2.583350427E-02
 -3.807827830E-02 0.000000000E+00 0.000000000E+00 2.597059496E-02
 -3.702259436E-02 0.000000000E+00 0.000000000E+00 2.611364610E-02
 -3.597937152E-02 0.000000000E+00 0.000000000E+00 2.625669725E-02
 -3.494825587E-02 0.000000000E+00 0.000000000E+00 2.640272863E-02
 -3.392890468E-02 0.000000000E+00 0.000000000E+00 2.654876001E-02
 -3.292097151E-02 0.000000000E+00 0.000000000E+00 2.669777162E-02
 -3.192412108E-02 0.000000000E+00 0.000000000E+00 2.684976347E-02
 -3.093801253E-02 0.000000000E+00 0.000000000E+00 2.700473554E-02
 -2.996231616E-02 0.000000000E+00 0.000000000E+00 2.716268785E-02
 -2.899670415E-02 0.000000000E+00 0.000000000E+00 2.732362039E-02
 -2.804085240E-02 0.000000000E+00 0.000000000E+00 2.748753317E-02
 -2.709443681E-02 0.000000000E+00 0.000000000E+00 2.765591629E-02
 -2.709443681E-02 0.000000000E+00 0.000000000E+00 2.765591629E-02
 -2.615714073E-02 0.000000000E+00 0.000000000E+00 2.782727964E-02
 -2.522864752E-02 0.000000000E+00 0.000000000E+00 2.800609358E-02
 -2.430864610E-02 0.000000000E+00 0.000000000E+00 2.818788774E-02
 -2.339682542E-02 0.000000000E+00 0.000000000E+00 2.837564237E-02
 -2.249288000E-02 0.000000000E+00 0.000000000E+00 2.856935747E-02
 -2.159650251E-02 0.000000000E+00 0.000000000E+00 2.876903303E-02
