VARIABLES = "X","Y","mut"
ZONE T="CFL3D"
 7.500000000E-01 1.154384986E-01 2.726466919E-04
 7.500000000E-01 1.167716980E-01 2.759953495E-04
 7.500000000E-01 1.181320995E-01 2.794476168E-04
 7.500000000E-01 1.195200980E-01 2.830072772E-04
 7.500000000E-01 1.209364012E-01 2.866782597E-04
 7.500000000E-01 1.223815978E-01 2.904646681E-04
 7.500000000E-01 1.238562986E-01 2.943708678E-04
 7.500000000E-01 1.253609061E-01 2.984012535E-04
 7.500000000E-01 1.268962026E-01 3.025605401E-04
 7.500000000E-01 1.284628958E-01 3.068535880E-04
 7.500000000E-01 1.300614029E-01 3.112855193E-04
 7.500000000E-01 1.316924989E-01 3.158616018E-04
 7.500000000E-01 1.333567947E-01 3.205874818E-04
 7.500000000E-01 1.350550056E-01 3.254688636E-04
 7.500000000E-01 1.367878020E-01 3.305118589E-04
 7.500000000E-01 1.385560036E-01 3.357228125E-04
 7.500000000E-01 1.403601021E-01 3.411083599E-04
 7.500000000E-01 1.422010064E-01 3.466753988E-04
 7.500000000E-01 1.440794021E-01 3.524312051E-04
 7.500000000E-01 1.459960938E-01 3.583833459E-04
 7.500000000E-01 1.479517967E-01 3.645397956E-04
 7.500000000E-01 1.499474049E-01 3.709088778E-04
 7.500000000E-01 1.519836038E-01 3.774992074E-04
 7.500000000E-01 1.540613025E-01 3.843199520E-04
 7.500000000E-01 1.561813951E-01 3.913806868E-04
 7.500000000E-01 1.583445966E-01 3.986913071E-04
 7.500000000E-01 1.605519056E-01 4.062623484E-04
 7.500000000E-01 1.628042012E-01 4.141047830E-04
 7.500000000E-01 1.651023030E-01 4.222301650E-04
 7.500000000E-01 1.674472988E-01 4.306504852E-04
 7.500000000E-01 1.698400974E-01 4.393784329E-04
 7.500000000E-01 1.722815931E-01 4.484272504E-04
 7.500000000E-01 1.747727990E-01 4.578109074E-04
 7.500000000E-01 1.773148030E-01 4.675440141E-04
 7.500000000E-01 1.799086034E-01 4.776419373E-04
 7.500000000E-01 1.825551987E-01 4.881207133E-04
 7.500000000E-01 1.852557957E-01 4.989973386E-04
 7.500000000E-01 1.880113035E-01 5.102895666E-04
 7.500000000E-01 1.908230036E-01 5.220160238E-04
 7.500000000E-01 1.936919987E-01 5.341963843E-04
 7.500000000E-01 1.966194063E-01 5.468512536E-04
 7.500000000E-01 1.996064931E-01 5.600022851E-04
 7.500000000E-01 2.026544064E-01 5.736723542E-04
 7.500000000E-01 2.057645023E-01 5.878852680E-04
 7.500000000E-01 2.089377940E-01 6.026664050E-04
 7.500000000E-01 2.121759057E-01 6.180421915E-04
 7.500000000E-01 2.154798955E-01 6.340405089E-04
 7.500000000E-01 2.188511938E-01 6.506908103E-04
 7.500000000E-01 2.222912014E-01 6.680240040E-04
 7.500000000E-01 2.258013040E-01 6.860725698E-04
 7.500000000E-01 2.293829024E-01 7.048709085E-04
 7.500000000E-01 2.330373973E-01 7.244550507E-04
 7.500000000E-01 2.367665023E-01 7.448630058E-04
 7.500000000E-01 2.405714989E-01 7.661348791E-04
 7.500000000E-01 2.444539964E-01 7.883129292E-04
 7.500000000E-01 2.484154999E-01 8.114415687E-04
 7.500000000E-01 2.524578869E-01 8.355677710E-04
 7.500000000E-01 2.565825880E-01 8.607410127E-04
 7.500000000E-01 2.607912123E-01 8.870133897E-04
 7.500000000E-01 2.650856972E-01 9.144397918E-04
 7.500000000E-01 2.694677114E-01 9.430784266E-04
 7.500000000E-01 2.739388049E-01 9.729902958E-04
 7.500000000E-01 2.785012126E-01 1.004240010E-03
 7.500000000E-01 2.831563950E-01 1.036895555E-03
 7.500000000E-01 2.879064977E-01 1.071028877E-03
 7.500000000E-01 2.927533090E-01 1.106715761E-03
 7.500000000E-01 2.976990044E-01 1.144036418E-03
 7.500000000E-01 3.027453125E-01 1.183075132E-03
 7.500000000E-01 3.078944981E-01 1.223921077E-03
