# CFD data extracted (using Tecplot) by interpolating from original grid onto fixed set of points
# SST model
VARIABLES = "X","Y","uv/Uref^2"
ZONE T="CFL3D, x=1.01"
 1.009999990E+00 -7.436286542E-04 1.686216216E-03
 1.009999990E+00 -7.205452421E-04 1.669247285E-03
 1.009999990E+00 -6.981872721E-04 1.651255065E-03
 1.009999990E+00 -6.765303551E-04 1.632320345E-03
 1.009999990E+00 -6.555509754E-04 1.612526481E-03
 1.009999990E+00 -6.352264318E-04 1.591953216E-03
 1.009999990E+00 -6.155346637E-04 1.570683671E-03
 1.009999990E+00 -5.964544252E-04 1.548797358E-03
 1.009999990E+00 -5.779651692E-04 1.526373089E-03
 1.009999990E+00 -5.600470467E-04 1.503485371E-03
 1.009999990E+00 -5.426807911E-04 1.480204868E-03
 1.009999990E+00 -5.258478341E-04 1.456603990E-03
 1.009999990E+00 -5.095301894E-04 1.432747697E-03
 1.009999990E+00 -4.937105114E-04 1.408697921E-03
 1.009999990E+00 -4.783718905E-04 1.384515897E-03
 1.009999990E+00 -4.634981742E-04 1.360255643E-03
 1.009999990E+00 -4.490735591E-04 1.335966052E-03
 1.009999990E+00 -4.350828531E-04 1.311696833E-03
 1.009999990E+00 -4.215113586E-04 1.287494204E-03
 1.009999990E+00 -4.083447857E-04 1.263394486E-03
 1.009999990E+00 -3.955693974E-04 1.239440171E-03
 1.009999990E+00 -3.831718350E-04 1.215657685E-03
 1.009999990E+00 -3.711392346E-04 1.192079391E-03
 1.009999990E+00 -3.594591108E-04 1.168734278E-03
 1.009999990E+00 -3.481193271E-04 1.145641785E-03
 1.009999990E+00 -3.371082421E-04 1.122825546E-03
 1.009999990E+00 -3.264145344E-04 1.100306981E-03
 1.009999990E+00 -3.160272317E-04 1.078099594E-03
 1.009999990E+00 -3.059357114E-04 1.056214678E-03
 1.009999990E+00 -2.961296996E-04 1.034662593E-03
 1.009999990E+00 -2.865992719E-04 1.013454283E-03
 1.009999990E+00 -2.773347951E-04 9.925991762E-04
 1.009999990E+00 -2.683268976E-04 9.721005918E-04
 1.009999990E+00 -2.595665574E-04 9.519639425E-04
 1.009999990E+00 -2.510449849E-04 9.321889374E-04
 1.009999990E+00 -2.427537402E-04 9.127763333E-04
 1.009999990E+00 -2.346845286E-04 8.937274688E-04
 1.009999990E+00 -2.268294047E-04 8.750426932E-04
 1.009999990E+00 -2.191806125E-04 8.567167097E-04
 1.009999990E+00 -2.117306431E-04 8.387477137E-04
 1.009999990E+00 -2.044722060E-04 8.211312816E-04
 1.009999990E+00 -1.973982435E-04 8.038606611E-04
 1.009999990E+00 -1.905019017E-04 7.869355613E-04
 1.009999990E+00 -1.837765012E-04 7.703470765E-04
 1.009999990E+00 -1.772155811E-04 7.540865918E-04
 1.009999990E+00 -1.708128548E-04 7.381491596E-04
 1.009999990E+00 -1.645622397E-04 7.225255831E-04
 1.009999990E+00 -1.584577694E-04 7.072116714E-04
 1.009999990E+00 -1.524936815E-04 6.921986933E-04
 1.009999990E+00 -1.466643589E-04 6.774778594E-04
 1.009999990E+00 -1.409643592E-04 6.630392745E-04
 1.009999990E+00 -1.353883417E-04 6.488774088E-04
 1.009999990E+00 -1.299311552E-04 6.349815521E-04
 1.009999990E+00 -1.245877211E-04 6.213429733E-04
 1.009999990E+00 -1.193531352E-04 6.079529412E-04
 1.009999990E+00 -1.142226029E-04 5.948026665E-04
 1.009999990E+00 -1.091914455E-04 5.818847567E-04
 1.009999990E+00 -1.042550866E-04 5.691907136E-04
 1.009999990E+00 -9.940905875E-05 5.567086046E-04
 1.009999990E+00 -9.464901086E-05 5.444302224E-04
 1.009999990E+00 -8.997067198E-05 5.323492805E-04
 1.009999990E+00 -8.536985843E-05 5.204550107E-04
 1.009999990E+00 -8.084248839E-05 5.087386817E-04
 1.009999990E+00 -7.638454554E-05 4.971916787E-04
 1.009999990E+00 -7.199210813E-05 4.858064931E-04
 1.009999990E+00 -6.766131264E-05 4.745736078E-04
 1.009999990E+00 -6.338836829E-05 4.634828656E-04
 1.009999990E+00 -5.916956070E-05 4.525281838E-04
 1.009999990E+00 -5.500121188E-05 4.417003656E-04
 1.009999990E+00 -5.087972022E-05 4.309905926E-04
 1.009999990E+00 -4.680152415E-05 4.203917924E-04
