# CFD data extracted (using Tecplot) by interpolating from original grid onto fixed set of points
# SST model
VARIABLES = "X","Y","u/Uref"
ZONE T="CFL3D, x=1.01"
 1.009999990E+00 -1.235095784E-03 4.432261288E-01
 1.009999990E+00 -1.196312951E-03 4.395624697E-01
 1.009999990E+00 -1.158781582E-03 4.359371066E-01
 1.009999990E+00 -1.122459769E-03 4.323544204E-01
 1.009999990E+00 -1.087306882E-03 4.288183153E-01
 1.009999990E+00 -1.053283806E-03 4.253329933E-01
 1.009999990E+00 -1.020352705E-03 4.219022095E-01
 1.009999990E+00 -9.884770261E-04 4.185296595E-01
 1.009999990E+00 -9.576214361E-04 4.152188599E-01
 1.009999990E+00 -9.277517092E-04 4.119727910E-01
 1.009999990E+00 -8.988348418E-04 4.087946415E-01
 1.009999990E+00 -8.708388777E-04 4.056863487E-01
 1.009999990E+00 -8.437330252E-04 4.026508033E-01
 1.009999990E+00 -8.174874238E-04 3.996897936E-01
 1.009999990E+00 -7.920732605E-04 3.968048394E-01
 1.009999990E+00 -7.674626540E-04 3.939969540E-01
 1.009999990E+00 -7.436286542E-04 3.912678957E-01
 1.009999990E+00 -7.205452421E-04 3.886177540E-01
 1.009999990E+00 -6.981872721E-04 3.860473931E-01
 1.009999990E+00 -6.765303551E-04 3.835566640E-01
 1.009999990E+00 -6.555509754E-04 3.811451197E-01
 1.009999990E+00 -6.352264318E-04 3.788130581E-01
 1.009999990E+00 -6.155346637E-04 3.765601218E-01
 1.009999990E+00 -5.964544252E-04 3.743847609E-01
 1.009999990E+00 -5.779651692E-04 3.722867072E-01
 1.009999990E+00 -5.600470467E-04 3.702647090E-01
 1.009999990E+00 -5.426807911E-04 3.683173060E-01
 1.009999990E+00 -5.258478341E-04 3.664432168E-01
 1.009999990E+00 -5.095301894E-04 3.646413982E-01
 1.009999990E+00 -4.937105114E-04 3.629104197E-01
 1.009999990E+00 -4.783718905E-04 3.612475395E-01
 1.009999990E+00 -4.634981742E-04 3.596518636E-01
 1.009999990E+00 -4.490735591E-04 3.581217825E-01
 1.009999990E+00 -4.350828531E-04 3.566548824E-01
 1.009999990E+00 -4.215113586E-04 3.552491069E-01
 1.009999990E+00 -4.083447857E-04 3.539032042E-01
 1.009999990E+00 -3.955693974E-04 3.526149094E-01
 1.009999990E+00 -3.831718350E-04 3.513824642E-01
 1.009999990E+00 -3.711392346E-04 3.502036929E-01
 1.009999990E+00 -3.594591108E-04 3.490768373E-01
 1.009999990E+00 -3.481193271E-04 3.479999900E-01
 1.009999990E+00 -3.371082421E-04 3.469712734E-01
 1.009999990E+00 -3.264145344E-04 3.459888101E-01
 1.009999990E+00 -3.160272317E-04 3.450501561E-01
 1.009999990E+00 -3.059357114E-04 3.441542387E-01
 1.009999990E+00 -2.961296996E-04 3.432989120E-01
 1.009999990E+00 -2.865992719E-04 3.424831331E-01
 1.009999990E+00 -2.773347951E-04 3.417038918E-01
 1.009999990E+00 -2.683268976E-04 3.409611285E-01
 1.009999990E+00 -2.595665574E-04 3.402519822E-01
 1.009999990E+00 -2.510449849E-04 3.395755887E-01
 1.009999990E+00 -2.427537402E-04 3.389306068E-01
 1.009999990E+00 -2.346845286E-04 3.383149803E-01
 1.009999990E+00 -2.268294047E-04 3.377275467E-01
 1.009999990E+00 -2.191806125E-04 3.371672332E-01
 1.009999990E+00 -2.117306431E-04 3.366329074E-01
 1.009999990E+00 -2.044722060E-04 3.361222744E-01
 1.009999990E+00 -1.973982435E-04 3.356350362E-01
 1.009999990E+00 -1.905019017E-04 3.351701498E-01
 1.009999990E+00 -1.837765012E-04 3.347265720E-01
 1.009999990E+00 -1.772155811E-04 3.343026936E-01
 1.009999990E+00 -1.708128548E-04 3.338975608E-01
 1.009999990E+00 -1.645622397E-04 3.335106373E-01
 1.009999990E+00 -1.584577694E-04 3.331411481E-01
 1.009999990E+00 -1.524936815E-04 3.327881694E-01
 1.009999990E+00 -1.466643589E-04 3.324503303E-01
 1.009999990E+00 -1.409643592E-04 3.321274817E-01
 1.009999990E+00 -1.353883417E-04 3.318182230E-01
 1.009999990E+00 -1.299311552E-04 3.315228522E-01
 1.009999990E+00 -1.245877211E-04 3.312398493E-01
 1.009999990E+00 -1.193531352E-04 3.309684694E-01
 1.009999990E+00 -1.142226029E-04 3.307084441E-01
 1.009999990E+00 -1.091914455E-04 3.304600120E-01
 1.009999990E+00 -1.042550866E-04 3.302209377E-01
 1.009999990E+00 -9.940905875E-05 3.299927711E-01
 1.009999990E+00 -9.464901086E-05 3.297730088E-01
 1.009999990E+00 -8.997067198E-05 3.295620680E-01
 1.009999990E+00 -8.536985843E-05 3.293596208E-01
 1.009999990E+00 -8.084248839E-05 3.291652799E-01
 1.009999990E+00 -7.638454554E-05 3.289780021E-01
 1.009999990E+00 -7.199210813E-05 3.287985921E-01
 1.009999990E+00 -6.766131264E-05 3.286261559E-01
 1.009999990E+00 -6.338836829E-05 3.284592032E-01
 1.009999990E+00 -5.916956070E-05 3.282996118E-01
 1.009999990E+00 -5.500121188E-05 3.281449676E-01
 1.009999990E+00 -5.087972022E-05 3.279971182E-01
 1.009999990E+00 -4.680152415E-05 3.278536201E-01
 1.009999990E+00 -4.276312029E-05 3.277158439E-01
 1.009999990E+00 -3.876104165E-05 3.275830746E-01
 1.009999990E+00 -3.479186489E-05 3.274545074E-01
 1.009999990E+00 -3.085220305E-05 3.273304105E-01
 1.009999990E+00 -2.693869828E-05 3.272112906E-01
 1.009999990E+00 -2.304802729E-05 3.270957470E-01
 1.009999990E+00 -1.917689042E-05 3.269842267E-01
 1.009999990E+00 -1.532200804E-05 3.268765211E-01
 1.009999990E+00 -1.148011779E-05 3.267725408E-01
 1.009999990E+00 -7.647975508E-06 3.266721666E-01
 1.009999990E+00 -3.822345661E-06 3.265752196E-01
 1.009999990E+00 0.000000000E+00 3.264842033E-01
 1.009999990E+00 3.822347935E-06 3.263914287E-01
 1.009999990E+00 7.647980055E-06 3.263043761E-01
 1.009999990E+00 1.148012416E-05 3.262204528E-01
 1.009999990E+00 1.532201532E-05 3.261395395E-01
 1.009999990E+00 1.917690133E-05 3.260616660E-01
 1.009999990E+00 2.304804002E-05 3.259866834E-01
 1.009999990E+00 2.693871284E-05 3.259146810E-01
 1.009999990E+00 3.085221761E-05 3.258449435E-01
 1.009999990E+00 3.479188308E-05 3.257787526E-01
 1.009999990E+00 3.876106348E-05 3.257154524E-01
 1.009999990E+00 4.276314212E-05 3.256544471E-01
 1.009999990E+00 4.680154962E-05 3.255964220E-01
 1.009999990E+00 5.087974569E-05 3.255419433E-01
 1.009999990E+00 5.500124098E-05 3.254893422E-01
 1.009999990E+00 5.916958980E-05 3.254409432E-01
 1.009999990E+00 6.338840467E-05 3.253946304E-01
 1.009999990E+00 6.766134902E-05 3.253526092E-01
