# CFD data extracted (using Tecplot) by interpolating from original grid onto fixed set of points
# SST model
VARIABLES = "X","Y","uv/Uref^2"
ZONE T="CFL3D, x=1.01"
 1.009999990E+00 -2.683268976E-04 9.716220084E-04
 1.009999990E+00 -2.595665574E-04 9.515110287E-04
 1.009999990E+00 -2.510449849E-04 9.317614022E-04
 1.009999990E+00 -2.427537402E-04 9.123735363E-04
 1.009999990E+00 -2.346845286E-04 8.933490026E-04
 1.009999990E+00 -2.268294047E-04 8.746880339E-04
 1.009999990E+00 -2.191806125E-04 8.563853917E-04
 1.009999990E+00 -2.117306431E-04 8.384392713E-04
 1.009999990E+00 -2.044722060E-04 8.208452491E-04
 1.009999990E+00 -1.973982435E-04 8.035965147E-04
 1.009999990E+00 -1.905019017E-04 7.866928354E-04
 1.009999990E+00 -1.837765012E-04 7.701253053E-04
 1.009999990E+00 -1.772155811E-04 7.538853679E-04
 1.009999990E+00 -1.708128548E-04 7.379680173E-04
 1.009999990E+00 -1.645622397E-04 7.223641151E-04
 1.009999990E+00 -1.584577694E-04 7.070694701E-04
 1.009999990E+00 -1.524936815E-04 6.920752930E-04
 1.009999990E+00 -1.466643589E-04 6.773729110E-04
 1.009999990E+00 -1.409643592E-04 6.629523705E-04
 1.009999990E+00 -1.353883417E-04 6.488081999E-04
 1.009999990E+00 -1.299311552E-04 6.349296309E-04
 1.009999990E+00 -1.245877211E-04 6.213080487E-04
 1.009999990E+00 -1.193531352E-04 6.079346058E-04
 1.009999990E+00 -1.142226029E-04 5.948006292E-04
 1.009999990E+00 -1.091914455E-04 5.818986101E-04
 1.009999990E+00 -1.042550866E-04 5.692202249E-04
 1.009999990E+00 -9.940905875E-05 5.567535409E-04
 1.009999990E+00 -9.464901086E-05 5.444902345E-04
 1.009999990E+00 -8.997067198E-05 5.324241356E-04
 1.009999990E+00 -8.536985843E-05 5.205443595E-04
 1.009999990E+00 -8.084248839E-05 5.088423495E-04
 1.009999990E+00 -7.638454554E-05 4.973094328E-04
 1.009999990E+00 -7.199210813E-05 4.859381297E-04
 1.009999990E+00 -6.766131264E-05 4.747188941E-04
 1.009999990E+00 -6.338836829E-05 4.636416270E-04
 1.009999990E+00 -5.916956070E-05 4.527001583E-04
 1.009999990E+00 -5.500121188E-05 4.418854369E-04
 1.009999990E+00 -5.087972022E-05 4.311885568E-04
 1.009999990E+00 -4.680152415E-05 4.206025042E-04
 1.009999990E+00 -4.276312029E-05 4.101171799E-04
 1.009999990E+00 -3.876104165E-05 3.997249878E-04
 1.009999990E+00 -3.479186489E-05 3.894188267E-04
 1.009999990E+00 -3.085220305E-05 3.791899071E-04
 1.009999990E+00 -2.693869828E-05 3.690301382E-04
 1.009999990E+00 -2.304802729E-05 3.589314292E-04
 1.009999990E+00 -1.917689042E-05 3.488852526E-04
 1.009999990E+00 -1.532200804E-05 3.388844780E-04
 1.009999990E+00 -1.148011779E-05 3.289219167E-04
 1.009999990E+00 -7.647975508E-06 3.189875861E-04
 1.009999990E+00 -3.822345661E-06 3.049593070E-04
 1.009999990E+00 0.000000000E+00 2.991912770E-04
 1.009999990E+00 3.822347935E-06 2.934147196E-04
 1.009999990E+00 7.647980055E-06 2.793913591E-04
 1.009999990E+00 1.148012416E-05 2.694882860E-04
 1.009999990E+00 1.532201532E-05 2.595681872E-04
 1.009999990E+00 1.917690133E-05 2.496237576E-04
 1.009999990E+00 2.304804002E-05 2.396468772E-04
 1.009999990E+00 2.693871284E-05 2.296294551E-04
 1.009999990E+00 3.085221761E-05 2.195641282E-04
 1.009999990E+00 3.479188308E-05 2.094431693E-04
