# Nondimensional eddy viscosity at x=0.97, BSL model
VARIABLES = "X","Y","mu_t"
ZONE T="CFL3D"
 9.700000286E-01 4.164937127E-05 5.361815095E-01
 9.700000286E-01 4.303410969E-05 5.923907161E-01
 9.700000286E-01 4.445888044E-05 6.524296403E-01
 9.700000286E-01 4.592501136E-05 7.163895369E-01
 9.700000286E-01 4.743386671E-05 7.843599319E-01
 9.700000286E-01 4.898685074E-05 8.564292789E-01
 9.700000286E-01 5.058540773E-05 9.326863885E-01
 9.700000286E-01 5.223102562E-05 1.013220787E+00
 9.700000286E-01 5.392523599E-05 1.098123789E+00
 9.700000286E-01 5.566961045E-05 1.187488794E+00
 9.700000286E-01 5.746577517E-05 1.281412482E+00
 9.700000286E-01 5.931540363E-05 1.379994869E+00
 9.700000286E-01 6.122021296E-05 1.483339548E+00
 9.700000286E-01 6.318197120E-05 1.591554165E+00
 9.700000286E-01 6.520251191E-05 1.704751611E+00
 9.700000286E-01 6.728371227E-05 1.823049068E+00
 9.700000286E-01 6.942750770E-05 1.946568608E+00
 9.700000286E-01 7.163589180E-05 2.075437546E+00
 9.700000286E-01 7.391091640E-05 2.209788561E+00
 9.700000286E-01 7.625470607E-05 2.349760532E+00
 9.700000286E-01 7.866942906E-05 2.495496273E+00
 9.700000286E-01 8.115734818E-05 2.647146225E+00
 9.700000286E-01 8.372076263E-05 2.804865599E+00
 9.700000286E-01 8.636206621E-05 2.968815565E+00
 9.700000286E-01 8.908371092E-05 3.139163733E+00
 9.700000286E-01 9.188823606E-05 3.316084623E+00
 9.700000286E-01 9.477823914E-05 3.499757290E+00
 9.700000286E-01 9.775641956E-05 3.690368414E+00
 9.700000286E-01 1.008255422E-04 3.888111591E+00
 9.700000286E-01 1.039884592E-04 4.093185902E+00
 9.700000286E-01 1.072481246E-04 4.305799007E+00
 9.700000286E-01 1.106075651E-04 4.526163578E+00
 9.700000286E-01 1.140699023E-04 4.754500389E+00
 9.700000286E-01 1.176383594E-04 4.991037846E+00
 9.700000286E-01 1.213162541E-04 5.236011028E+00
 9.700000286E-01 1.251070062E-04 5.489662647E+00
 9.700000286E-01 1.290141663E-04 5.752244949E+00
 9.700000286E-01 1.330413361E-04 6.024014950E+00
 9.700000286E-01 1.371922699E-04 6.305239201E+00
 9.700000286E-01 1.414708386E-04 6.596193790E+00
 9.700000286E-01 1.458810293E-04 6.897162914E+00
 9.700000286E-01 1.504269312E-04 7.208437443E+00
 9.700000286E-01 1.551127643E-04 7.530317783E+00
 9.700000286E-01 1.599429088E-04 7.863116741E+00
 9.700000286E-01 1.649218466E-04 8.207153320E+00
 9.700000286E-01 1.700542198E-04 8.562755585E+00
 9.700000286E-01 1.753448014E-04 8.930264473E+00
 9.700000286E-01 1.807984954E-04 9.310026169E+00
 9.700000286E-01 1.864203950E-04 9.702402115E+00
 9.700000286E-01 1.922157098E-04 1.010776043E+01
 9.700000286E-01 1.981898677E-04 1.052648354E+01
