#SSG/LRR-RM-w2012
VARIABLES = "x","y","k_nondim","omega_nondim"
ZONE T="CFL3D, x=29.2468"
 2.924682617E+01 9.669596553E-01 1.350502949E-03 3.556814818E-06
 2.924682617E+01 9.682593942E-01 1.348095248E-03 3.555841886E-06
 2.924682617E+01 9.695386291E-01 1.345720491E-03 3.554884188E-06
 2.924682617E+01 9.707975984E-01 1.343377167E-03 3.553941269E-06
 2.924682617E+01 9.720366001E-01 1.341067255E-03 3.553010856E-06
 2.924682617E+01 9.732559919E-01 1.338789123E-03 3.552093176E-06
 2.924682617E+01 9.744559526E-01 1.336539397E-03 3.551190275E-06
 2.924682617E+01 9.756368399E-01 1.334321569E-03 3.550299880E-06
 2.924682617E+01 9.767989516E-01 1.332135289E-03 3.549422217E-06
 2.924682617E+01 9.779425263E-01 1.329977415E-03 3.548556833E-06
 2.924682617E+01 9.790679216E-01 1.327851205E-03 3.547704182E-06
 2.924682617E+01 9.801752567E-01 1.325754216E-03 3.546866537E-06
 2.924682617E+01 9.812649488E-01 1.323685865E-03 3.546038442E-06
 2.924682617E+01 9.823371768E-01 1.321647898E-03 3.545220807E-06
 2.924682617E+01 9.833921790E-01 1.319638337E-03 3.544418405E-06
 2.924682617E+01 9.844302535E-01 1.317655202E-03 3.543628054E-06
 2.924682617E+01 9.854517579E-01 1.315702684E-03 3.542847708E-06
 2.924682617E+01 9.864567518E-01 1.313777291E-03 3.542080321E-06
 2.924682617E+01 9.874455929E-01 1.311878324E-03 3.541322030E-06
 2.924682617E+01 9.884184599E-01 1.310008345E-03 3.540574653E-06
 2.924682617E+01 9.893756509E-01 1.308165956E-03 3.539842510E-06
 2.924682617E+01 9.903173447E-01 1.306348597E-03 3.539119234E-06
 2.924682617E+01 9.912438393E-01 1.304559060E-03 3.538407100E-06
 2.924682617E+01 9.921552539E-01 1.302796067E-03 3.537706789E-06
 2.924682617E+01 9.930518866E-01 1.301058684E-03 3.537016710E-06
 2.924682617E+01 9.939339757E-01 1.299344935E-03 3.536336408E-06
 2.924682617E+01 9.948017001E-01 1.297656796E-03 3.535666110E-06
 2.924682617E+01 9.956552982E-01 1.295994851E-03 3.535003088E-06
 2.924682617E+01 9.964950085E-01 1.294357702E-03 3.534351208E-06
 2.924682617E+01 9.973208904E-01 1.292743138E-03 3.533711151E-06
 2.924682617E+01 9.981333613E-01 1.291152323E-03 3.533080417E-06
 2.924682617E+01 9.989324808E-01 1.289589214E-03 3.532461051E-06
 2.924682617E+01 9.997184873E-01 1.288048574E-03 3.531848051E-06
 2.924682617E+01 1.000491500E+00 1.286530169E-03 3.531245738E-06
 2.924682617E+01 1.001251936E+00 1.285036094E-03 3.530656613E-06
 2.924682617E+01 1.001999736E+00 1.283564605E-03 3.530073400E-06
 2.924682617E+01 1.002735257E+00 1.282111625E-03 3.529500646E-06
 2.924682617E+01 1.003471375E+00 1.280656317E-03 3.528925390E-06
 2.924682617E+01 1.004227161E+00 1.279167715E-03 3.528331717E-06
 2.924682617E+01 1.005003214E+00 1.277632313E-03 3.527723038E-06
 2.924682617E+01 1.005800247E+00 1.276047551E-03 3.527096169E-06
 2.924682617E+01 1.006619096E+00 1.274421462E-03 3.526455885E-06
 2.924682617E+01 1.007460237E+00 1.272752881E-03 3.525796046E-06
 2.924682617E+01 1.008324623E+00 1.271033660E-03 3.525117108E-06
