VARIABLES = "y","uuprime","wwprime","vvprime"
ZONE T="CFL3D, SA-QCR2000"
 1.784602553E-02 3.524790202E-07 2.747145800E-07 1.957393039E-07
 1.839871332E-02 4.627775052E-09 3.848500185E-09 3.011506600E-09
 1.896851510E-02 1.792259258E-10 3.021605743E-10 4.166071099E-10
 1.955596358E-02 1.406206956E-10 2.606829752E-10 3.749972000E-10
 2.016160637E-02 1.381904174E-10 2.580649583E-10 3.727184672E-10
 2.078600600E-02 1.386108450E-10 2.588211312E-10 3.738597210E-10
 2.142974176E-02 1.391966820E-10 2.598054827E-10 3.752906319E-10
 2.209341526E-02 1.397192223E-10 2.607262461E-10 3.766271461E-10
 2.277764119E-02 1.402360589E-10 2.616162564E-10 3.779132007E-10
 2.348305658E-02 1.407194500E-10 2.624539752E-10 3.791242875E-10
 2.421032079E-02 1.411794154E-10 2.632485341E-10 3.802725357E-10
 2.496010624E-02 1.416134154E-10 2.639989061E-10 3.813570570E-10
 2.573311329E-02 1.420235457E-10 2.647078667E-10 3.823816541E-10
 2.653006092E-02 1.424102225E-10 2.653767484E-10 3.833482976E-10
 2.735168859E-02 1.427744450E-10 2.660072995E-10 3.842595409E-10
 2.819876187E-02 1.431169766E-10 2.666010468E-10 3.851176045E-10
 2.907206863E-02 1.434386498E-10 2.671596000E-10 3.859247644E-10
 2.997242101E-02 1.437402697E-10 2.676844302E-10 3.866831577E-10
 3.090065904E-02 1.440226688E-10 2.681770361E-10 3.873949772E-10
 3.185764328E-02 1.442866243E-10 2.686389444E-10 3.880623600E-10
 3.284426406E-02 1.445329828E-10 2.690715428E-10 3.886873878E-10
 3.386143968E-02 1.447625214E-10 2.694763301E-10 3.892721701E-10
 3.491012007E-02 1.449761006E-10 2.698546941E-10 3.898188161E-10
 3.599127382E-02 1.451745252E-10 2.702081059E-10 3.903293522E-10
 3.710591421E-02 1.453586140E-10 2.705379809E-10 3.908058877E-10
 3.825507313E-02 1.455291998E-10 2.708457347E-10 3.912504210E-10
 3.943981975E-02 1.456871151E-10 2.711326996E-10 3.916650337E-10
 4.066125676E-02 1.458331650E-10 2.714003466E-10 3.920517244E-10
 4.192052409E-02 1.459681820E-10 2.716499803E-10 3.924124636E-10
 4.321879148E-02 1.460929572E-10 2.718829328E-10 3.927492775E-10
 4.455726221E-02 1.462082816E-10 2.721005643E-10 3.930640258E-10
 4.593718797E-02 1.463149463E-10 2.723041237E-10 3.933586790E-10
 4.735985026E-02 1.464137006E-10 2.724949155E-10 3.936350412E-10
 4.882656783E-02 1.465052801E-10 2.726740778E-10 3.938948612E-10
 5.033871159E-02 1.465903648E-10 2.728428039E-10 3.941398874E-10
 5.189768597E-02 1.466696348E-10 2.730022042E-10 3.943717575E-10
 5.350494012E-02 1.467437283E-10 2.731533055E-10 3.945919980E-10
 5.516197160E-02 1.468132421E-10 2.732971072E-10 3.948021077E-10
 5.687032267E-02 1.468787175E-10 2.734345250E-10 3.950034466E-10
 5.863158032E-02 1.469406818E-10 2.735664473E-10 3.951972916E-10
 6.044737995E-02 1.469996347E-10 2.736936788E-10 3.953848360E-10
 6.231941655E-02 1.470559785E-10 2.738168858E-10 3.955671901E-10
 6.424943358E-02 1.471101158E-10 2.739367899E-10 3.957452699E-10
 6.623921543E-02 1.471623795E-10 2.740539462E-10 3.959199912E-10
 6.829062104E-02 1.472130751E-10 2.741688543E-10 3.960920758E-10
 7.040556520E-02 1.472624661E-10 2.742819860E-10 3.962621897E-10
 7.258599997E-02 1.473107747E-10 2.743937022E-10 3.964308881E-10
 7.483396679E-02 1.473581535E-10 2.745043082E-10 3.965986151E-10
 7.715155184E-02 1.474047689E-10 2.746140815E-10 3.967657869E-10
 7.954090834E-02 1.474507183E-10 2.747231886E-10 3.969325979E-10
 8.200427145E-02 1.474960987E-10 2.748317962E-10 3.970993256E-10
 8.454391360E-02 1.475409378E-10 2.749400152E-10 3.972660811E-10
 8.716221154E-02 1.475852773E-10 2.750478734E-10 3.974328922E-10
 8.986160159E-02 1.476291034E-10 2.751553707E-10 3.975998142E-10
 9.264458716E-02 1.476724160E-10 2.752625072E-10 3.977667640E-10
 9.551376104E-02 1.477151595E-10 2.753692552E-10 3.979336582E-10
 9.847179055E-02 1.477573064E-10 2.754754758E-10 3.981003582E-10
 1.015214324E-01 1.477987871E-10 2.755810857E-10 3.982666696E-10
 1.046655178E-01 1.478395045E-10 2.756859463E-10 3.984324259E-10
 1.079069749E-01 1.478793893E-10 2.757899187E-10 3.985973218E-10
 1.112488210E-01 1.479183442E-10 2.758928086E-10 3.987611352E-10
 1.146941632E-01 1.479562445E-10 2.759944218E-10 3.989235331E-10
 1.182462052E-01 1.479929790E-10 2.760945639E-10 3.990842101E-10
 1.219082549E-01 1.480284367E-10 2.761929574E-10 3.992427777E-10
 1.256837100E-01 1.480624373E-10 2.762893525E-10 3.993988751E-10
 1.295761019E-01 1.480948558E-10 2.763834994E-10 3.995521136E-10
 1.335890293E-01 1.481255396E-10 2.764750651E-10 3.997020215E-10
 1.377262473E-01 1.481543083E-10 2.765637441E-10 3.998480991E-10
 1.419915855E-01 1.481809675E-10 2.766491758E-10 3.999898746E-10
 1.463890225E-01 1.482053091E-10 2.767309992E-10 4.001267651E-10
 1.509226412E-01 1.482271389E-10 2.768087981E-10 4.002582155E-10
 1.555966735E-01 1.482462209E-10 2.768821283E-10 4.003835319E-10
 1.604154557E-01 1.482623191E-10 2.769505458E-10 4.005021315E-10
 1.653834581E-01 1.482751422E-10 2.770135232E-10 4.006131815E-10
 1.705053449E-01 1.482844542E-10 2.770705609E-10 4.007159882E-10
 1.757858396E-01 1.482899220E-10 2.771211038E-10 4.008096910E-10
 1.812298745E-01 1.482912543E-10 2.771645136E-10 4.008934296E-10
 1.868425012E-01 1.482881179E-10 2.772001795E-10 4.009662602E-10
 1.926289499E-01 1.482801382E-10 2.772274077E-10 4.010271837E-10
 1.985946149E-01 1.482669681E-10 2.772454766E-10 4.010751453E-10
 2.047450244E-01 1.482481915E-10 2.772536367E-10 4.011090626E-10
 2.110859156E-01 1.482234196E-10 2.772511110E-10 4.011277421E-10
 2.176231891E-01 1.481922224E-10 2.772370111E-10 4.011299626E-10
 2.243629098E-01 1.481541279E-10 2.772104768E-10 4.011144472E-10
 2.313113511E-01 1.481086781E-10 2.771705920E-10 4.010797527E-10
 2.384749949E-01 1.480553874E-10 2.771163854E-10 4.010245469E-10
 2.458604872E-01 1.479937561E-10 2.770468577E-10 4.009473309E-10
 2.534747124E-01 1.479232431E-10 2.769610097E-10 4.008465504E-10
 2.613247335E-01 1.478433348E-10 2.768576479E-10 4.007205956E-10
 2.694178820E-01 1.477534484E-10 2.767357454E-10 4.005678012E-10
 2.777616680E-01 1.476530426E-10 2.765941087E-10 4.003864462E-10
 2.863638699E-01 1.475415345E-10 2.764315721E-10 4.001747822E-10
 2.952324748E-01 1.474183553E-10 2.762469697E-10 3.999310327E-10
 3.043757379E-01 1.472829081E-10 2.760390250E-10 3.996533660E-10
 3.138021529E-01 1.471346239E-10 2.758065720E-10 3.993399222E-10
