VARIABLES = "y","uuprime","wwprime","vvprime"
ZONE T="CFL3D, SA"
 7.954090834E-02 1.459740384E-10 2.719736381E-10 3.929601089E-10
 8.200427145E-02 1.460202098E-10 2.720833558E-10 3.931282799E-10
 8.454391360E-02 1.460658122E-10 2.721926573E-10 3.932964510E-10
 8.716221154E-02 1.461109150E-10 2.723016257E-10 3.934647608E-10
 8.986160159E-02 1.461554766E-10 2.724102888E-10 3.936332094E-10
 9.264458716E-02 1.461995108E-10 2.725185910E-10 3.938017412E-10
 9.551376104E-02 1.462429761E-10 2.726265047E-10 3.939703008E-10
 9.847179055E-02 1.462858168E-10 2.727339465E-10 3.941387217E-10
 1.015214324E-01 1.463279775E-10 2.728408333E-10 3.943068927E-10
 1.046655178E-01 1.463693750E-10 2.729470261E-10 3.944745919E-10
 1.079069749E-01 1.464099258E-10 2.730523863E-10 3.946415694E-10
 1.112488210E-01 1.464495608E-10 2.731567472E-10 3.948076033E-10
 1.146941632E-01 1.464881411E-10 2.732599147E-10 3.949723881E-10
 1.182462052E-01 1.465255556E-10 2.733616944E-10 3.951356464E-10
 1.219082549E-01 1.465617072E-10 2.734618365E-10 3.952970173E-10
 1.256837100E-01 1.465964433E-10 2.735601190E-10 3.954561123E-10
 1.295761019E-01 1.466296251E-10 2.736562921E-10 3.956125982E-10
 1.335890293E-01 1.466610999E-10 2.737500504E-10 3.957660033E-10
 1.377262473E-01 1.466907013E-10 2.738410609E-10 3.959158834E-10
 1.419915855E-01 1.467182487E-10 2.739290184E-10 3.960617667E-10
 1.463890225E-01 1.467435479E-10 2.740135618E-10 3.962031259E-10
 1.509226412E-01 1.467664046E-10 2.740943028E-10 3.963393780E-10
 1.555966735E-01 1.467865968E-10 2.741708249E-10 3.964699125E-10
 1.604154557E-01 1.468039024E-10 2.742426841E-10 3.965941187E-10
 1.653834581E-01 1.468180438E-10 2.743094363E-10 3.967112472E-10
 1.705053449E-01 1.468287714E-10 2.743704985E-10 3.968206042E-10
 1.757858396E-01 1.468358074E-10 2.744253991E-10 3.969213569E-10
 1.812298745E-01 1.468388466E-10 2.744735272E-10 3.970127005E-10
 1.868425012E-01 1.468375838E-10 2.745142724E-10 3.970936913E-10
 1.926289499E-01 1.468316718E-10 2.745469685E-10 3.971634133E-10
