# PDF of fluctuation velocity in a strained channel at different channel heights
# Normalization is by u_tau(0) (i.e. unstrained channel u_tau)
# STRAIN TIME = 0.365
#
# y = 0.0261,  y+ =  10
#
# u,v,w = normalized fluctuation velocity values
# p(s) = probability density function of s
#
#      u           p(u)           v             p(v)           w            p(w)
  1.27181E+00   1.61073E-01   3.89823E-01   5.21178E-01   2.14816E-01   4.10002E-01
  1.30948E+00   1.59043E-01   4.12386E-01   4.79812E-01   2.48461E-01   4.05298E-01
  1.34716E+00   1.57172E-01   4.34977E-01   4.38625E-01   2.82112E-01   4.01106E-01
  1.38486E+00   1.55161E-01   4.57540E-01   4.02598E-01   3.15760E-01   3.95786E-01
  1.42254E+00   1.53391E-01   4.80104E-01   3.68212E-01   3.49408E-01   3.89773E-01
  1.46022E+00   1.51384E-01   5.02694E-01   3.36544E-01   3.83056E-01   3.84487E-01
  1.49789E+00   1.49754E-01   5.25258E-01   3.07663E-01   4.16704E-01   3.78268E-01
  1.53557E+00   1.47607E-01   5.47821E-01   2.80767E-01   4.50326E-01   3.71137E-01
  1.57327E+00   1.44569E-01   5.70411E-01   2.54665E-01   4.83974E-01   3.64043E-01
  1.61095E+00   1.42271E-01   5.92975E-01   2.33843E-01   5.17622E-01   3.55779E-01
  1.64862E+00   1.40446E-01   6.15539E-01   2.13785E-01   5.51270E-01   3.48499E-01
  1.68630E+00   1.39081E-01   6.38102E-01   1.94191E-01   5.84918E-01   3.40703E-01
  1.72398E+00   1.37055E-01   6.60693E-01   1.77271E-01   6.18567E-01   3.31655E-01
  1.76168E+00   1.34876E-01   6.83256E-01   1.61685E-01   6.52215E-01   3.23075E-01
  1.79936E+00   1.32399E-01   7.05820E-01   1.48143E-01   6.85863E-01   3.13750E-01
  1.83703E+00   1.30236E-01   7.28410E-01   1.35088E-01   7.19511E-01   3.05600E-01
  1.87471E+00   1.28186E-01   7.50974E-01   1.23629E-01   7.53159E-01   2.96896E-01
  1.91239E+00   1.26346E-01   7.73537E-01   1.12484E-01   7.86807E-01   2.88005E-01
  1.95009E+00   1.23717E-01   7.96101E-01   1.03106E-01   8.20455E-01   2.78441E-01
  1.98776E+00   1.21263E-01   8.18691E-01   9.44104E-02   8.54077E-01   2.69187E-01
  2.02544E+00   1.19244E-01   8.41255E-01   8.59618E-02   8.87725E-01   2.60230E-01
  2.06312E+00   1.16630E-01   8.63818E-01   7.87640E-02   9.21373E-01   2.50111E-01
  2.10082E+00   1.13705E-01   8.86408E-01   7.20118E-02   9.55021E-01   2.41741E-01
  2.13850E+00   1.11360E-01   9.08972E-01   6.57368E-02   9.88669E-01   2.32683E-01
  2.17617E+00   1.09469E-01   9.31536E-01   6.03021E-02   1.02232E+00   2.23530E-01
  2.21385E+00   1.06739E-01   9.54100E-01   5.53737E-02   1.05597E+00   2.14572E-01
  2.25153E+00   1.03958E-01   9.76690E-01   5.03090E-02   1.08961E+00   2.06189E-01
  2.28923E+00   1.01165E-01   9.99253E-01   4.58727E-02   1.12326E+00   1.98048E-01
  2.32690E+00   9.85668E-02   1.02182E+00   4.21637E-02   1.15691E+00   1.89827E-01
  2.36458E+00   9.65597E-02   1.04441E+00   3.85484E-02   1.19056E+00   1.81501E-01
  2.40226E+00   9.43543E-02   1.06697E+00   3.48880E-02   1.22421E+00   1.73839E-01
  2.43993E+00   9.17405E-02   1.08953E+00   3.25826E-02   1.25785E+00   1.66291E-01
  2.47764E+00   8.93251E-02   1.11212E+00   2.98488E-02   1.29148E+00   1.58964E-01
  2.51531E+00   8.69524E-02   1.13469E+00   2.73682E-02   1.32512E+00   1.52272E-01
  2.55299E+00   8.44397E-02   1.15725E+00   2.49939E-02   1.35877E+00   1.44285E-01
  2.59067E+00   8.22304E-02   1.17982E+00   2.27267E-02   1.39242E+00   1.37669E-01
  2.62834E+00   8.02661E-02   1.20241E+00   2.09867E-02   1.42607E+00   1.30992E-01
  2.66604E+00   7.81969E-02   1.22497E+00   1.89600E-02   1.45972E+00   1.24778E-01
  2.70369E+00   7.57697E-02   1.24753E+00   1.74440E-02   1.49336E+00   1.18196E-01
  2.74134E+00   7.33815E-02   1.27012E+00   1.61707E-02   1.52701E+00   1.12379E-01
  2.77899E+00   7.19501E-02   1.29269E+00   1.47903E-02   1.56066E+00   1.06748E-01
  2.81664E+00   7.02426E-02   1.31525E+00   1.37140E-02   1.59431E+00   1.01103E-01
  2.85456E+00   6.80333E-02   1.33781E+00   1.26992E-02   1.62796E+00   9.59890E-02
  2.89221E+00   6.60496E-02   1.36040E+00   1.18221E-02   1.66160E+00   9.12187E-02
  2.92986E+00   6.39531E-02   1.38297E+00   1.09630E-02   1.69523E+00   8.62620E-02
  2.96751E+00   6.20744E-02   1.40553E+00   9.88369E-03   1.72887E+00   8.14583E-02
