#
# From LES simulations of the flow over a wall-mounted hump
# Published in
#      Avdis A., Lardeau S. & Leschziner M.A. (2009) 
#           Large Eddy Simulation of Separated Flow over a Glauert-Goldschmied 
#           Wall-Mounted Hump with and without Control by Means of a Synthetic Jet
#           Flow, Turbulence And Combustion, 83, 343-370.
# (see also Greenblatt et al, AIAA Journal, vol.44, numb.2 pp.194-207)
# 
# Reference velocity: U_in
# Reference length: C 
# Re_C = U_in C/nu = 935,892
# 
# Other parameters:
#     Domain width z = 0.4 C
#     Hump height h = 0.13 C
#
# Boundary layer parameters upstream of the hump:
#     Momentum-thickness Reynolds number : Re_theta = 6771
#     Boundary-layer thickness : delta = 0.07 C  = 0.55 h
#     Displacement-thickness : delta^*  = 9.4 × 10−3 C = 0.073 h
#
# 
# Data: 
#    Resolution (nx,ny) = (207,23)
#    Domain extent from x = 0.625C to 1.583C
#
#    do i = 1,nx
#    do j = 1,ny
#       read(20,*) x(i,j),y(i,j),U(i,j),V(i,j),W(i,j)&
#                 ,uu(i,j),vv(i,j),ww(i,j)&
#                 ,uv(i,j),uw(i,j),vw(i,j)
#    enddo
#    read(20,*)
#    enddo
# 
#    x/C           y/C           U/U_in        V/U_in        W/U_in        uu/U_in^2     vv/U_in^2     ww/U_in^2     uv/U_in^2     uw/U_in^2     vw/U_in^2
     0.6480612     0.1514776     1.1425824    -0.1072337     0.0017764     0.0030249     0.0022403     0.0023111    -0.0009472     0.0000112     0.0000181
     0.6506240     0.1561355     1.1496755    -0.1035927     0.0016445     0.0028771     0.0020806     0.0021291    -0.0009487     0.0000159     0.0000112
     0.6532652     0.1612250     1.1579886    -0.0999832     0.0009997     0.0026930     0.0018747     0.0018645    -0.0009204     0.0000043     0.0000111
     0.6559356     0.1667873     1.1676204    -0.0963357     0.0004569     0.0024495     0.0016399     0.0015650    -0.0008512     0.0000072     0.0000091
     0.6585758     0.1728585     1.1785076    -0.0926679     0.0001972     0.0021113     0.0013604     0.0012412    -0.0007456     0.0000039     0.0000039
     0.6611215     0.1794658     1.1904075    -0.0891539     0.0000934     0.0016990     0.0010462     0.0009151    -0.0006159    -0.0000195     0.0000069
     0.6635123     0.1866247     1.2018919    -0.0856225     0.0000639     0.0012462     0.0007347     0.0005802    -0.0004613    -0.0000152     0.0000045
     0.6656999     0.1943389     1.2122274    -0.0820976    -0.0000482     0.0007870     0.0004601     0.0003318    -0.0003035    -0.0000043    -0.0000018
     0.6676546     0.2026026     1.2190223    -0.0784042    -0.0000631     0.0004119     0.0002564     0.0001594    -0.0001634    -0.0000013    -0.0000009
     0.6693667     0.2114045     1.2214353    -0.0745489     0.0000477     0.0001862     0.0001331     0.0000670    -0.0000701     0.0000003    -0.0000009
     0.6708424     0.2207329     1.2205580    -0.0706226    -0.0000203     0.0000766     0.0000697     0.0000298    -0.0000233     0.0000016    -0.0000014
     0.6720977     0.2305798     1.2182825    -0.0667353     0.0000178     0.0000372     0.0000419     0.0000140    -0.0000070    -0.0000004     0.0000003
     0.6731508     0.2409434     1.2153194    -0.0629196    -0.0000096     0.0000230     0.0000301     0.0000079    -0.0000037    -0.0000000    -0.0000001
     0.6740166     0.2518292     1.2122911    -0.0592014     0.0000005     0.0000185     0.0000242     0.0000050    -0.0000022     0.0000000    -0.0000000

     0.6334682     0.1205050     0.4582596    -0.0691293    -0.0001307     0.0309539     0.0108155     0.0170186    -0.0054797     0.0000737     0.0000435
     0.6345354     0.1240323     0.9330020    -0.1214471     0.0001764     0.0166439     0.0048893     0.0067281    -0.0040029    -0.0000318     0.0000055
     0.6359166     0.1270485     1.0403068    -0.1266367    -0.0001356     0.0091681     0.0032467     0.0046741    -0.0021634    -0.0000276    -0.0000067
     0.6374791     0.1299306     1.0863417    -0.1267431     0.0003680     0.0057360     0.0025308     0.0037405    -0.0013777    -0.0000307     0.0000064
     0.6391909     0.1328792     1.1076741    -0.1247227     0.0008704     0.0042402     0.0022575     0.0032830    -0.0010255    -0.0000294     0.0000012
     0.6410569     0.1359934     1.1182118    -0.1218432     0.0010225     0.0036337     0.0022317     0.0029736    -0.0008954    -0.0000205     0.0000056
     0.6430919     0.1393321     1.1240973    -0.1184775     0.0009988     0.0033594     0.0023002     0.0027632    -0.0008723    -0.0000270     0.0000055
     0.6452731     0.1429462     1.1288404    -0.1149460     0.0011247     0.0032238     0.0023392     0.0026263    -0.0008937    -0.0000169     0.0000102
     0.6475957     0.1468740     1.1341764    -0.1114066     0.0014668     0.0031314     0.0023222     0.0024891    -0.0009280    -0.0000043     0.0000075
     0.6500545     0.1511537     1.1402022    -0.1077672     0.0018044     0.0030311     0.0022437     0.0023184    -0.0009477     0.0000087     0.0000162
