variables="x","y","mut"
zone, t="CFL3D"
 7.500000000E-01 1.980976462E-01 2.077897787E-01
 7.500000000E-01 2.011148334E-01 2.078444362E-01
 7.500000000E-01 2.041934878E-01 2.078984529E-01
 7.500000000E-01 2.073348761E-01 2.079517841E-01
 7.500000000E-01 2.105402499E-01 2.080044597E-01
 7.500000000E-01 2.138109356E-01 2.080564648E-01
 7.500000000E-01 2.171482444E-01 2.081077993E-01
 7.500000000E-01 2.205535620E-01 2.081584632E-01
 7.500000000E-01 2.240282446E-01 2.082084417E-01
 7.500000000E-01 2.275737077E-01 2.082577646E-01
 7.500000000E-01 2.311914265E-01 2.083064020E-01
 7.500000000E-01 2.348828316E-01 2.083543688E-01
 7.500000000E-01 2.386494428E-01 2.084016502E-01
 7.500000000E-01 2.424927950E-01 2.084482610E-01
 7.500000000E-01 2.464144379E-01 2.084941864E-01
 7.500000000E-01 2.504159808E-01 2.085394412E-01
 7.500000000E-01 2.544990480E-01 2.085840106E-01
 7.500000000E-01 2.586653233E-01 2.086278945E-01
 7.500000000E-01 2.629164457E-01 2.086710930E-01
 7.500000000E-01 2.672542036E-01 2.087136209E-01
 7.500000000E-01 2.716802955E-01 2.087554485E-01
 7.500000000E-01 2.761965990E-01 2.087966204E-01
 7.500000000E-01 2.808049023E-01 2.088370919E-01
 7.500000000E-01 2.855070829E-01 2.088768780E-01
 7.500000000E-01 2.903050482E-01 2.089159936E-01
 7.500000000E-01 2.952007949E-01 2.089544386E-01
 7.500000000E-01 3.001962602E-01 2.089921981E-01
 7.500000000E-01 3.052935004E-01 2.090292871E-01
 7.500000000E-01 3.104945719E-01 2.090656906E-01
