TITLE     = "u-velocity normalized by centerline u-velocity at x=50.0, diagonal cut (y=z)"
VARIABLES = "u/u_CL","2z/D"
ZONE T="USM3D, grid 1 diagonal cut"
    0.416145777E+00    0.244048800E-01
    0.417555810E+00    0.246422601E-01
    0.419200330E+00    0.249192900E-01
    0.420847890E+00    0.251963199E-01
    0.422260450E+00    0.254337000E-01
    0.423674696E+00    0.256809184E-01
    0.423675096E+00    0.256809761E-01
    0.425324646E+00    0.259694300E-01
    0.426977597E+00    0.262579416E-01
    0.426977999E+00    0.262580240E-01
    0.428395077E+00    0.265051600E-01
    0.429814886E+00    0.267626321E-01
    0.431470819E+00    0.270631400E-01
    0.433130431E+00    0.273635879E-01
    0.434553311E+00    0.276210600E-01
    0.435979278E+00    0.278892057E-01
    0.437642458E+00    0.282021400E-01
    0.439309477E+00    0.285150743E-01
    0.440738692E+00    0.287832200E-01
    0.442171329E+00    0.290624823E-01
    0.443842299E+00    0.293883900E-01
    0.445517291E+00    0.297142978E-01
    0.446953336E+00    0.299935600E-01
    0.448393164E+00    0.302844049E-01
    0.450072572E+00    0.306238300E-01
    0.451756106E+00    0.309632551E-01
    0.453199508E+00    0.312541000E-01
    0.454646958E+00    0.315569983E-01
    0.456335282E+00    0.319104900E-01
    0.458027989E+00    0.322639817E-01
    0.459479195E+00    0.325668800E-01
    0.460934597E+00    0.328823392E-01
    0.462632135E+00    0.332504900E-01
    0.464334228E+00    0.336186408E-01
    0.465793495E+00    0.339341000E-01
    0.467257003E+00    0.342626370E-01
    0.468964066E+00    0.346460500E-01
    0.470675789E+00    0.350294630E-01
    0.472143291E+00    0.353580000E-01
    0.473615206E+00    0.357001547E-01
    0.475332060E+00    0.360994600E-01
    0.477053660E+00    0.364987653E-01
    0.478529606E+00    0.368409200E-01
    0.480010057E+00    0.371972647E-01
    0.481736894E+00    0.376131300E-01
    0.483468562E+00    0.380289953E-01
    0.484953153E+00    0.383853400E-01
    0.486442133E+00    0.387564560E-01
    0.488178953E+00    0.391895600E-01
    0.489920690E+00    0.396226640E-01
    0.491413924E+00    0.399937800E-01
    0.492911584E+00    0.403802858E-01
    0.494658547E+00    0.408313500E-01
    0.496410533E+00    0.412824143E-01
    0.497912488E+00    0.416689200E-01
    0.499418718E+00    0.420714477E-01
    0.501175616E+00    0.425412100E-01
    0.502937697E+00    0.430109723E-01
    0.504448327E+00    0.434135000E-01
    0.505963203E+00    0.438327141E-01
    0.507730254E+00    0.443219500E-01
    0.509502226E+00    0.448111859E-01
    0.509502479E+00    0.448112278E-01
    0.511021649E+00    0.452304000E-01
    0.511021725E+00    0.452304437E-01
    0.511021874E+00    0.452304856E-01
    0.512544909E+00    0.456669973E-01
    0.512545341E+00    0.456670992E-01
    0.514322288E+00    0.461765200E-01
    0.516104607E+00    0.466860427E-01
    0.517632461E+00    0.471226400E-01
    0.517632538E+00    0.471226855E-01
    0.517632688E+00    0.471227291E-01
    0.519164401E+00    0.475773404E-01
    0.520951258E+00    0.481079900E-01
    0.522743311E+00    0.486386396E-01
    0.522743567E+00    0.486386850E-01
    0.524279922E+00    0.490933400E-01
    0.525820213E+00    0.495668911E-01
    0.527616936E+00    0.501195953E-01
    0.529418832E+00    0.506721889E-01
    0.529419090E+00    0.506722363E-01
    0.530963819E+00    0.511457400E-01
    0.530963896E+00    0.511457893E-01
    0.530964048E+00    0.511458366E-01
    0.532512369E+00    0.516389217E-01
    0.534318610E+00    0.522145376E-01
    0.536130121E+00    0.527900383E-01
    0.536130561E+00    0.527902027E-01
    0.537683331E+00    0.532832200E-01
    0.537683408E+00    0.532832714E-01
    0.537683561E+00    0.532833207E-01
    0.539240045E+00    0.537968490E-01
    0.541055821E+00    0.543962700E-01
    0.542877133E+00    0.549956910E-01
    0.544438481E+00    0.555093200E-01
    0.546003015E+00    0.560442454E-01
    0.547828097E+00    0.566685824E-01
    0.549658726E+00    0.572927946E-01
    0.551228049E+00    0.578277200E-01
    0.552800325E+00    0.583848232E-01
    0.554634387E+00    0.590349800E-01
    0.556474081E+00    0.596851368E-01
    0.558051219E+00    0.602422400E-01
    0.559631118E+00    0.608224439E-01
    0.561474124E+00    0.614995600E-01
    0.563322771E+00    0.621766761E-01
    0.564907538E+00    0.627568800E-01
    0.566494847E+00    0.633611353E-01
    0.568346502E+00    0.640663200E-01
    0.570203863E+00    0.647715047E-01
    0.571796108E+00    0.653757600E-01
    0.573390554E+00    0.660050680E-01
    0.575250523E+00    0.667394900E-01
    0.577116401E+00    0.674739120E-01
    0.578715911E+00    0.681032200E-01
    0.580317246E+00    0.687586190E-01
    0.582185273E+00    0.695234900E-01
    0.584059198E+00    0.702883610E-01
    0.585665628E+00    0.709437600E-01
    0.587273737E+00    0.716263298E-01
    0.589149667E+00    0.724229897E-01
    0.591031602E+00    0.732194902E-01
    0.592644893E+00    0.739020600E-01
    0.594259389E+00    0.746129312E-01
    0.596142747E+00    0.754425400E-01
    0.598032292E+00    0.762721488E-01
    0.599652083E+00    0.769830200E-01
    0.601272802E+00    0.777233647E-01
    0.603163493E+00    0.785873700E-01
    0.605060360E+00    0.794513753E-01
    0.606686411E+00    0.801917200E-01
    0.608313041E+00    0.809627564E-01
    0.610210585E+00    0.818625800E-01
    0.612114400E+00    0.827624036E-01
    0.613746440E+00    0.835334400E-01
    0.615378699E+00    0.843364465E-01
    0.617282818E+00    0.852735800E-01
    0.619193475E+00    0.862107135E-01
    0.620831300E+00    0.870137200E-01
    0.622468830E+00    0.878500162E-01
    0.624379071E+00    0.888260000E-01
    0.626295743E+00    0.898019838E-01
    0.626296017E+00    0.898020674E-01
    0.627939136E+00    0.906382800E-01
    0.629581592E+00    0.915092504E-01
    0.629581866E+00    0.915094537E-01
